2017-07-17 15:11:52 TRACE root:10 - Trace msg
2017-07-17 15:11:52 DEBUG root:11 - Debug msg
2017-07-17 15:11:52 INFO  root:12 - Info msg
2017-07-17 15:11:52 WARN  root:13 - Warn msg
2017-07-17 15:11:52 ERROR root:14 - Error msg
2017-07-17 15:11:52 FATAL root:15 - Fatal msg
2017-07-17 15:33:36 ERROR root:10 - Encountered an error here. 

2017-07-17 15:34:50 ERROR root:10 - Reached the end of file for apps.txt.
2017-07-17 15:35:30 ERROR root:10 - Reached end of file for users.txt
2017-07-17 15:35:30 ERROR root:10 - Reached the end of file for apps.txt.
2017-07-17 15:35:56 INFO  root:10 - Reached end of file for users.txt
2017-07-17 15:35:56 INFO  root:10 - Reached the end of file for apps.txt.
2017-07-17 15:36:16 WARN  root:10 - Reached end of file for users.txt
2017-07-17 15:36:16 WARN  root:10 - Reached the end of file for apps.txt.
2017-07-17 16:29:22 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:29:22 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:29:28 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:29:28 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:29:57 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:29:57 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:41:35 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:41:35 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:42:20 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:42:20 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:43:14 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:43:14 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:43:30 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:44:20 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:44:38 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:44:38 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:45:03 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:45:03 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:48:40 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:48:40 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:48:50 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:48:50 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:49:00 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:49:00 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:49:06 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:49:14 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:49:14 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 16:49:35 WARN  root:13 - Reached end of file for users.txt
2017-07-17 16:49:35 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:14:25 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:14:25 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:14:45 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:14:45 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:15:20 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:15:20 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:16:03 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:16:03 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:16:26 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:16:26 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:16:40 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:16:57 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:16:57 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:17:13 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:17:13 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:17:53 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:18:05 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:18:05 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:21:39 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:21:39 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:22:08 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:22:08 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:22:20 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:22:20 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:23:20 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:23:20 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:23:55 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:23:55 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:24:16 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:24:16 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:24:40 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:24:40 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:24:46 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:24:54 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:24:54 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:26:02 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:26:02 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:26:56 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:26:56 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:27:04 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:27:04 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:29:56 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:29:56 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:32:06 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:32:06 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:32:12 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:32:12 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:42:01 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:42:01 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:43:09 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:43:09 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:44:05 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:05 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:44:16 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:47 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:56 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:56 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:45:22 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:45:22 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:46:09 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:46:09 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:46:14 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:46:14 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:49:10 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:49:10 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:49:19 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:49:19 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:51:10 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:51:11 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:52:07 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:52:07 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:52:21 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:52:45 WARN  root:13 - Reached end of file for users.txt
